id,x-ini,y-ini,x-goal,y-goal,x-end,y-end,L0-path,L1-path,td,tsh,zt,C
(adult 1454),215,-112,152,-31,152,-31,99,99,44,51.7,-99,0
(adult 2603),136,-170,135,-31,135,-31,177,177,39,51.8,-99,0
(adult 1723),139,-131,135,-31,135,-31,116,116,43,51.8,-99,0
(adult 1944),111,-46,135,-31,135,-31,38,38,49,51.8,-99,0
(adult 1539),124,-190,135,-31,135,-31,202,202,37,51.9,-99,0
(adult 2263),104,-103,135,-31,135,-31,93,93,45,51.9,-99,0
(adult 1128),100,-105,135,-31,135,-31,96,96,45,52,-99,0
(adult 772),220,-74,152,-31,152,-31,102,102,44,52,-99,0
(adult 815),180,-91,152,-31,152,-31,63,63,47,52,-99,0
(adult 2118),187,-54,152,-31,152,-31,66,66,47,52,-99,0
(adult 380),44,-145,135,-31,135,-31,149,149,41,52.1,-99,0
(adult 977),149,-59,152,-31,152,-31,39,39,49,52.2,-99,0
(adult 1087),171,-155,152,-31,152,-31,163,163,40,52.2,-99,0
(adult 2558),199,-147,152,-31,152,-31,133,133,42,52.2,-99,0
(adult 505),109,-37,135,-31,135,-31,29,29,50,52.2,-99,0
(adult 2715),115,-171,135,-31,135,-31,151,151,41,52.2,-99,0
(adult 2461),172,-51,152,-31,152,-31,40,40,49,52.3,-99,0
(adult 515),57,-21,135,-31,135,-31,87,87,46,52.3,-99,0
(adult 1544),187,-114,152,-31,152,-31,92,92,45,52.3,-99,0
(adult 1710),189,-141,152,-31,152,-31,119,119,43,52.4,-99,0
(adult 2014),68,-134,135,-31,135,-31,141,141,42,52.4,-99,0
(adult 2193),173,-123,152,-31,152,-31,95,95,45,52.4,-99,0
(adult 561),45,-191,135,-31,135,-31,181,181,39,52.5,-99,0
(adult 1217),110,-170,135,-31,135,-31,142,142,42,52.5,-99,0
(adult 2090),99,-208,135,-31,135,-31,176,176,39,52.5,-99,0
(adult 281),228,-77,152,-31,152,-31,109,109,44,52.6,-99,0
(adult 1481),195,-139,152,-31,152,-31,123,123,43,52.6,-99,0
(adult 1314),41,-152,135,-31,135,-31,155,155,41,52.6,-99,0
(adult 1974),44,-192,135,-31,135,-31,182,182,39,52.6,-99,0
(adult 750),142,-90,135,-31,135,-31,89,89,46,52.6,-99,0
(adult 2319),211,-59,152,-31,152,-31,97,97,45,52.7,-99,0
(adult 1552),123,-198,135,-31,135,-31,202,202,38,52.7,-99,0
(adult 2368),127,-39,135,-31,135,-31,10,10,52,52.8,-99,0
(adult 1475),186,-101,152,-31,152,-31,73,73,47,52.8,-99,0
(adult 1019),44,-141,135,-31,135,-31,147,147,42,52.8,-99,0
(adult 796),131,-124,135,-31,135,-31,107,107,45,52.9,-99,0
(adult 670),150,-79,152,-31,152,-31,65,65,48,52.9,-99,0
(car 2763),124,-201,1,-160,1,-160,171,171,51,53,-99,0
(adult 1028),200,-144,152,-31,152,-31,130,130,43,53,-99,0
(adult 612),151,-130,152,-31,152,-31,138,138,43,53.1,-99,0
(adult 1097),108,-70,135,-31,135,-31,58,58,49,53.2,-99,0
(adult 2695),137,-72,135,-31,135,-31,45,45,50,53.3,-99,0
(adult 1416),98,-61,135,-31,135,-31,58,58,49,53.3,-99,0
(adult 1988),223,-52,152,-31,152,-31,120,120,44,53.3,-99,0
